"","DT","Temp","Site"
"93",2021-11-26,52.0504166666667,"Vertical Bay Farm"
"94",2021-11-27,51.6383333333333,"Vertical Bay Farm"
"95",2021-11-28,50.9054166666667,"Vertical Bay Farm"
"96",2021-11-29,50.9316666666667,"Vertical Bay Farm"
"97",2021-11-30,50.9866666666667,"Vertical Bay Farm"
"98",2021-12-01,50.8645833333333,"Vertical Bay Farm"
"99",2021-12-02,50.165,"Vertical Bay Farm"
"100",2021-12-03,49.9716666666667,"Vertical Bay Farm"
"101",2021-12-04,49.6516666666667,"Vertical Bay Farm"
"102",2021-12-05,49.5458333333333,"Vertical Bay Farm"
"103",2021-12-06,49.4683333333333,"Vertical Bay Farm"
"104",2021-12-07,49.3591666666667,"Vertical Bay Farm"
"105",2021-12-08,48.8195833333333,"Vertical Bay Farm"
"106",2021-12-09,48.5666666666667,"Vertical Bay Farm"
"107",2021-12-10,48.2033333333333,"Vertical Bay Farm"
"108",2021-12-11,48.3479166666667,"Vertical Bay Farm"
"109",2021-12-12,48.3054166666667,"Vertical Bay Farm"
"110",2021-12-13,47.4191666666667,"Vertical Bay Farm"
"111",2021-12-14,47.4725,"Vertical Bay Farm"
"112",2021-12-15,47.7208333333333,"Vertical Bay Farm"
"113",2021-12-16,47.1833333333333,"Vertical Bay Farm"
"114",2021-12-17,47.1641666666667,"Vertical Bay Farm"
"115",2021-12-18,47.1320833333333,"Vertical Bay Farm"
"116",2021-12-19,46.89875,"Vertical Bay Farm"
"117",2021-12-20,46.6895833333333,"Vertical Bay Farm"
"118",2021-12-21,46.0991666666667,"Vertical Bay Farm"
"119",2021-12-22,45.9595833333333,"Vertical Bay Farm"
"120",2021-12-23,46.1595833333333,"Vertical Bay Farm"
"121",2021-12-24,45.8516666666667,"Vertical Bay Farm"
"122",2021-12-25,45.2945833333333,"Vertical Bay Farm"
"123",2021-12-26,44.86,"Vertical Bay Farm"
"124",2021-12-27,46.5170833333333,"Vertical Bay Farm"
"125",2021-12-28,46.07875,"Vertical Bay Farm"
"126",2021-12-29,46.205,"Vertical Bay Farm"
"127",2021-12-30,46.0533333333333,"Vertical Bay Farm"
"128",2021-12-31,46.13375,"Vertical Bay Farm"
"129",2022-01-01,46.105,"Vertical Bay Farm"
"130",2022-01-02,46.0958333333333,"Vertical Bay Farm"
"131",2022-01-03,45.47125,"Vertical Bay Farm"
"132",2022-01-04,44.8570833333333,"Vertical Bay Farm"
"133",2022-01-05,44.5295833333333,"Vertical Bay Farm"
"134",2022-01-06,44.5091666666667,"Vertical Bay Farm"
"135",2022-01-07,44.0570833333333,"Vertical Bay Farm"
"136",2022-01-08,43.88875,"Vertical Bay Farm"
"137",2022-01-09,43.5779166666667,"Vertical Bay Farm"
"138",2022-01-10,43.3079166666667,"Vertical Bay Farm"
"139",2022-01-11,42.5541666666667,"Vertical Bay Farm"
"140",2022-01-12,42.0904166666667,"Vertical Bay Farm"
"141",2022-01-13,41.9083333333333,"Vertical Bay Farm"
"142",2022-01-14,42.20125,"Vertical Bay Farm"
"143",2022-01-15,41.72375,"Vertical Bay Farm"
"144",2022-01-16,40.9570833333333,"Vertical Bay Farm"
"145",2022-01-17,40.9004166666667,"Vertical Bay Farm"
"146",2022-01-18,40.9183333333333,"Vertical Bay Farm"
"147",2022-01-19,40.0545833333333,"Vertical Bay Farm"
"148",2022-01-20,40.2558333333333,"Vertical Bay Farm"
